district,LOR,street,LOR_2021,year,month,hour,weekday,category,accident_kind,accident_type,light_condition,car,pedestrian,motorcycle,goods_vehicle,others,road_condition,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84
6,6040701.0,Wannsee,6400735.0,2018,6,10,3,3,1,5,0,1,0,0,0,0,0,778677.6504,5814935.666,13.09811869,52.41351487
2,2040701.0,Andreasviertel,2400521.0,2018,7,9,2,3,1,5,0,0,0,0,0,1,0,800292.9227,5827987.998,13.42673811,52.51908028
3,3071638.0,Winsstraße,3701659.0,2018,6,19,4,3,5,3,0,0,0,1,0,0,0,800044.6637,5828995.005,13.42399878,52.52824308
4,4030417.0,Schloßstraße,4300414.0,2018,10,10,2,3,6,4,0,0,1,0,0,0,0,791094.2131,5826469.409,13.29022739,52.51045446
4,4030417.0,Schloßstraße,4300414.0,2018,7,19,7,3,5,2,1,1,0,0,0,0,0,791845.9336,5826592.056,13.30138013,52.5111523
9,9020601.0,Schnellerstraße                                                                                     ,9200613.0,2018,4,8,2,3,5,2,0,0,0,0,0,1,1,806697.8992,5821040.262,13.51444826,52.45324864
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,11,16,1,3,3,6,2,1,0,0,0,0,1,799170.9991,5828371.892,13.41059801,52.52313796
3,3071638.0,Winsstraße,3701659.0,2018,8,16,2,3,2,6,0,1,0,0,0,0,0,800047.2787,5828999.183,13.42404098,52.52827909
1,1011102.0,Großer Tiergarten,1100102.0,2018,8,15,7,3,0,1,0,0,0,0,0,0,0,795506.5582,5827220.737,13.35572228,52.51481718
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,5,19,3,2,5,3,0,0,0,0,0,1,0,799604.032,5828293.47,13.41689086,52.52219727
1,1011303.0,Alexanderplatzviertel,1100310.0,2018,6,16,4,3,2,6,0,1,0,0,0,0,0,799682.5704,5828428.48,13.41816661,52.52336426
2,2010101.0,Askanischer Platz,2100101.0,2018,7,16,3,3,5,3,0,1,0,0,0,0,0,797886.1161,5825493.067,13.3891393,52.49803631
2,3071638.0,Winsstraße,3701659.0,2018,3,12,2,3,5,3,0,1,0,0,0,0,0,799862.1347,5828781.209,13.42112339,52.52642718
9,9010201.0,Am Treptower Park Süd,9100202.0,2018,8,13,3,2,5,2,0,0,0,0,0,1,0,803126.0581,5824537.774,13.46522447,52.48658905
3,3061131.0,Falkplatz,3601142.0,2018,4,15,2,3,0,1,0,0,0,0,0,0,0,799184.6027,5831150.298,13.41329912,52.54803466
3,3061332.0,Helmholtzplatz,3701657.0,2018,5,16,3,3,5,2,0,1,0,0,0,0,0,799971.0722,5830201.888,13.42400643,52.53910128
1,1011105.0,Nördlicher Landwehrkanal                                                                            ,1100102.0,2018,12,10,2,3,2,2,0,1,0,0,0,0,1,796420.9362,5826330.177,13.36836442,52.506338
3,3061126.0,Arnimplatz,3601141.0,2018,9,17,5,3,5,2,0,0,0,0,0,1,0,799196.197,5831434.082,13.41372528,52.55057197
9,9020601.0,Schnellerstraße                                                                                     ,9200613.0,2018,6,6,6,3,3,6,0,0,0,0,0,1,0,806375.7735,5821375.387,13.51003015,52.4564328
