OBJECTID;LAND;BEZ;LOR;STRASSE;LOR_ab_2021;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
204755;11;4;4041241;Breite Straße;4400832;2018;8;5;2;3;0;1;1;0;0;0;1;0;0;0;791906,263;5822175,9;13,29839768;52,47152975
204756;11;4;4030931;Breitscheidplatz;4501042;2018;8;9;5;3;3;6;0;1;0;0;0;0;1;0;793988,2347;5826056,497;13,33238377;52,50520093
204757;11;7;7030303;Grazer Platz;7300619;2018;8;12;5;3;5;7;0;1;1;0;0;0;0;1;795049,9909;5821617,333;13,34405222;52,46483361
204758;11;9;9041402;Siedlung Kämmereiheide;9401432;2018;8;17;2;3;0;1;0;0;0;0;1;0;1;0;812138,2188;5820061,438;13,59333566;52,4413979
204759;11;7;7070705;Franziusweg/Rohrbachstraße                                                                          ;7601546;2018;8;14;5;3;5;3;0;0;1;0;0;0;0;0;798379,0288;5813629,001;13,38578393;52,39141918
204760;11;7;7070703;John-Locke-Straße                                                                                   ;7601544;2018;8;9;5;3;5;3;0;1;1;0;0;0;0;0;799609,2497;5813974,771;13,40411783;52,39384719
204761;11;4;4030415;Schloßgarten;4300412;2018;8;14;1;3;2;6;0;0;1;0;0;0;0;0;790864,5272;5827394,061;13,28766081;52,51886648
204762;11;1;1033203;Humboldthain Nordwest                                                                               ;1300836;2018;8;18;1;3;5;2;0;1;1;0;0;0;0;0;796279,0347;5830398,193;13,36990411;52,54288085
204763;11;12;12301203;Wittenau Süd                                                                                        ;12500926;2018;8;9;5;3;2;6;0;0;1;0;0;0;0;1;793645,8469;5836128,713;13,33626129;52,5956768
204764;11;2;2030401;Reichenberger Straße;2300417;2018;8;10;1;3;6;4;0;0;1;1;0;0;0;0;800741,0224;5825721,618;13,43127464;52,49851918
204765;11;2;2030302;Lausitzer Platz;2300316;2018;8;9;5;3;5;2;0;1;1;0;0;0;0;1;801621,3502;5826052,913;13,44450354;52,5010028
204766;11;7;7030301;Friedenau;7300516;2018;8;12;1;3;6;7;0;0;0;1;1;0;0;0;794023,5105;5821640,294;13,3290064;52,46559278
204767;11;12;12214423;Mellerbogen;12200308;2018;9;17;5;2;5;2;0;1;1;0;0;0;0;0;792608,5137;5833878,79;13,31900359;52,57606651
204768;11;8;8041035;Blumenviertel;8401241;2018;9;6;3;2;2;6;2;0;1;0;1;0;0;0;805494,2116;5818594,522;13,49455404;52,43200249
204769;11;2;2030301;Oranienplatz;2300314;2018;9;17;5;3;1;5;0;1;1;0;0;0;0;0;799860,3593;5825997,266;13,41858866;52,50147453
204770;11;8;8020622;Parchimer Allee;8200726;2018;9;17;5;3;5;2;0;1;1;0;0;0;0;0;801314,1921;5819953,261;13,43448215;52,44649972
204771;11;5;5030730;Zitadellenweg;5300736;2018;9;5;3;3;3;6;1;0;1;0;1;0;0;0;785582,6368;5829254,919;13,21162911;52,53834252
204772;11;6;6010207;Mittelstraße                                                                                        ;6100207;2018;9;13;3;3;5;3;0;1;1;0;0;0;0;0;793720,2506;5819788,192;13,32292582;52,44915245
204773;11;11;11051331;Karlshorst Nord;11501340;2018;9;16;5;2;2;6;0;0;1;0;0;0;0;0;807817,3222;5825199,774;13,53470765;52,48989738
204774;11;3;3040614;Pankow Zentrum                                                                                      ;3400725;2018;9;5;3;3;5;7;2;0;1;0;1;0;0;1;798710,9384;5834916,468;13,40972548;52,58205257
204775;11;3;3020307;Buchholz;3200310;2018;9;15;5;3;2;6;0;0;1;0;0;0;0;0;799836,7016;5839298,156;13,43025912;52,62070721
204776;11;1;1022101;Huttenkiez;1200517;2018;9;12;3;3;6;2;0;0;1;1;0;0;0;0;793406,9284;5829077,933;13,32650876;52,53259963
204777;11;2;2010102;Mehringplatz;2100102;2018;9;15;5;3;3;6;0;1;0;0;0;0;1;0;798082,912;5825495,966;13,39203229;52,49795485
204778;11;12;12224229;Konradshöhe/Tegelort;12400616;2018;9;18;5;3;5;3;0;0;1;0;0;0;0;0;786318,5402;5834448,05;13,22693084;52,58451615
204779;11;4;4030726;Droysenstraße;4500936;2018;9;11;3;3;2;6;0;0;0;0;1;0;1;0;792088,4324;5825794,804;13,30424369;52,50387531
204780;11;3;3040818;Pankow Süd                                                                                          ;3400829;2018;9;11;3;2;5;3;0;1;0;0;0;0;1;0;799662,4816;5832816,656;13,4218298;52,56270813
